NO,共通ID,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
912,E2710000804201,新喜多東中央公園,大阪府大阪市城東区新喜多東1-8,,,,1,1,,,,,34.69516871,135.5489107,
913,E2710000805201,新喜多東公園,大阪府大阪市城東区新喜多東2-6,,,,1,1,,,,,34.69256334,135.551199,
914,E2710000806202,森之宮小学校（運動場）,大阪府大阪市城東区森之宮1-6-64,,,,1,1,,,,1,34.68360982,135.5370639,
915,E2710000806201,森之宮小学校,大阪府大阪市城東区森之宮1-6-64,1,,,,1,,,,1,34.68343282,135.5377278,
916,E2710002912201,大阪公立大学　森之宮キャンパス,大阪府大阪市城東区森之宮2-1-132,,,,1,1,,,,,34.687094,135.539334,
917,E2710000807201,社会福祉法人　平成福祉会　特別養護老人ホーム　平成森之宮苑,大阪府大阪市城東区森之宮2-1-49,1,,,,,,,,1,34.684923,135.539178,
918,E2710000809201,大阪府立成城高等学校,大阪府大阪市城東区諏訪3-11-41,,,,1,1,,,,1,34.68175651,135.5613,
919,E2710000810201,成育西公園,大阪府大阪市城東区成育1-1,,,,1,,,,,,34.70506161,135.541475,
920,E2710000811202,成育小学校（運動場）,大阪府大阪市城東区成育1-5-19,,,,1,,,,,1,34.70613861,135.5435988,
921,E2710000811201,成育小学校,大阪府大阪市城東区成育1-5-19,1,,,,1,,,,1,34.70609157,135.5441335,
922,E2710000812201,成育公園,大阪府大阪市城東区成育3-18,,,,1,,,,,,34.70937344,135.543722,
923,E2710000816201,蒲生中公園,大阪府大阪市城東区中央1-3,,,,1,,,,,,34.70074837,135.5417255,
924,E2710000817201,泉秀園城東ビルパーキング,大阪府大阪市城東区中央1-9-33,1,,,,,,,,,34.700547,135.544709,
925,E2710000819201,成育南公園,大阪府大阪市城東区中央2-2,,,,1,,,,,,34.70420394,135.5415587,
926,E2710000820201,蒲生公園一帯,大阪府大阪市城東区中央3,,,,1,,1,,,,34.70386038,135.5447402,
927,E2710003012201,東大阪病院,大阪府大阪市城東区中央3-4-32,1,,,,1,,,,,34.701904,135.54598,
928,E2710000822201,蒲生公園,大阪府大阪市城東区中央3-8,,,,1,,,,,,34.70401732,135.5447512,
929,E2710000823202,蒲生中学校（運動場）,大阪府大阪市城東区中央3-9-24,,,,1,,,,,1,34.70507208,135.5449693,
930,E2710000823201,蒲生中学校,大阪府大阪市城東区中央3-9-24,1,,,,1,,,,1,34.7052347,135.545499,
931,E2710000824201,中浜公園,大阪府大阪市城東区中浜1-6,,,,1,1,,,,,34.6869923,135.5420752,
932,E2710000825201,中浜小学校,大阪府大阪市城東区中浜2-12-35,1,,,,1,,,,1,34.68526245,135.5440558,
933,E2710000825202,中浜小学校（運動場）,大阪府大阪市城東区中浜2-12-35,,,,1,1,,,,1,34.68534479,135.5436553,
