NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
485,E2710001426111,茨田北中学校,大阪府大阪市鶴見区茨田大宮1-1-31,1,,,34.710904,135.5880888,
486,E2710001428121,茨田大宮保育所,大阪府大阪市鶴見区茨田大宮3-1-43,,,要配慮者,34.70721911,135.596323,
487,E2710001432111,茨田東小学校,大阪府大阪市鶴見区茨田大宮3-7-61,1,,,34.70873657,135.595441,
488,E2710002851121,茨田大宮地域在宅サービスステーションちどり,大阪府大阪市鶴見区茨田大宮3-8-33,,,要配慮者,34.709709,135.597351,
489,E2710001444111,横堤中学校,大阪府大阪市鶴見区横堤1-11-27,1,,,34.7023818,135.5694651,
490,E2710001445111,横堤小学校,大阪府大阪市鶴見区横堤1-11-83,1,,,34.70146176,135.5700836,
491,E2710001454111,茨田西小学校,大阪府大阪市鶴見区横堤5-13-61,1,,,34.70734397,135.5731627,
492,E2710002812111,鶴見区子ども・子育てプラザ,大阪府大阪市鶴見区今津中1-1-14,,,,34.693054,135.567411,
493,E2710001456111,今津中学校,大阪府大阪市鶴見区今津中1-3-55,1,,,34.69290174,135.5679582,
494,E2710001458111,汎愛高等学校,大阪府大阪市鶴見区今津中2-1-52,1,,,34.69214627,135.5705301,
495,E2710001460121,視覚障害リハビリテーションセンター,大阪府大阪市鶴見区今津中2-4-37,,,要配慮者,34.69128824,135.5718342,
496,E2710001464111,今津小学校,大阪府大阪市鶴見区今津中4-1-48,1,,,34.69322812,135.5771833,
497,E2710001466121,特別養護老人ホーム　リベルタヴィータ,大阪府大阪市鶴見区今津南3-5-5,,,要配慮者,34.68873232,135.5738689,
498,E2710001467112,榎本小学校,大阪府大阪市鶴見区今津北1-5-35,1,,,34.69474709,135.5684843,
499,E2710001467111,大阪市立榎本幼稚園,大阪府大阪市鶴見区今津北1-5-35,1,,,34.695687,135.56917,
500,E2710001474111,茨田南小学校,大阪府大阪市鶴見区諸口1-3-71,1,,,34.69830154,135.5778662,
501,E2710001483111,茨田中学校,大阪府大阪市鶴見区諸口3-4-44,1,,,34.70366023,135.578081,
502,E2710002853121,有料老人ホームゆうわ,大阪府大阪市鶴見区諸口6-1-16,,,要配慮者,34.705406,135.574661,
503,E2710002852122,介護老人福祉施設ゆうわ,大阪府大阪市鶴見区諸口6-1-17,,,要配慮者,34.705502,135.574661,
504,E2710002852121,ショートステイゆうわ,大阪府大阪市鶴見区諸口6-1-17,,,要配慮者,34.705502,135.574661,
505,E2710001486121,グリーンシティー秀和,大阪府大阪市鶴見区諸口6-2-7,,,要配慮者,34.70461046,135.5755404,
506,E2710001494111,焼野小学校,大阪府大阪市鶴見区焼野1-3-44,1,,,34.71623749,135.5842841,
507,E2710001502111,鶴見南小学校,大阪府大阪市鶴見区鶴見2-17-22,1,,,34.69904109,135.5657979,
508,E2710001510111,鶴見小学校,大阪府大阪市鶴見区鶴見4-14-10,1,,,34.70533446,135.5642612,
509,E2710001515111,緑中学校,大阪府大阪市鶴見区鶴見6-6-11,1,,,34.70866174,135.5644813,
510,E2710001516111,茨田北小学校,大阪府大阪市鶴見区浜3-8-66,1,,,34.7089366,135.5861111,
511,E2710001526111,鶴見商業高等学校,大阪府大阪市鶴見区緑2-10-9,1,,,34.7103609,135.5665216,
512,E2710001527111,みどり小学校,大阪府大阪市鶴見区緑2-4-45,1,,,34.71044455,135.5641103,
513,E2710001528111,水の館ホール,大阪府大阪市鶴見区緑地公園,1,,,34.710757,135.57734,
514,E2710001528112,鶴見スポーツセンター,大阪府大阪市鶴見区緑地公園,1,,,34.710439,135.576954,
515,E2710001532111,大阪ビジネスフロンティア高等学校,大阪府大阪市天王寺区烏ケ辻2-9-26,1,,,34.65548669,135.5244993,
516,E2710001533111,高津高等学校,大阪府大阪市天王寺区餌差町10-47,1,,,34.66942453,135.5248365,
517,E2710001534111,大阪明星学園,大阪府大阪市天王寺区餌差町5-44,1,,,34.67203694,135.5258725,
518,E2710001537111,真田山小学校,大阪府大阪市天王寺区玉造本町14-41,1,,,34.67186054,135.5275341,
519,E2710002805121,（一社）大阪府助産師会,大阪府大阪市天王寺区細工谷1-1-5,,,要配慮者,34.66297,135.525471,
520,E2710001539111,大江小学校,大阪府大阪市天王寺区四天王寺1-9-18,1,,,34.65621665,135.5146681,
521,E2710001541111,聖和小学校,大阪府大阪市天王寺区寺田町1-6-37,1,,,34.6517439,135.522002,
522,E2710001543111,夕陽丘中学校,大阪府大阪市天王寺区小宮町6-28,1,,,34.66060174,135.5195939,
523,E2710001544111,五条小学校,大阪府大阪市天王寺区小宮町9-28,1,,,34.65906448,135.5194912,
524,E2710001547111,生魂小学校,大阪府大阪市天王寺区上汐4-1-25,1,,,34.66321413,135.5170399,
525,E2710001550111,大阪市立男女共同参画センター中央館,大阪府大阪市天王寺区上汐5-6-25,,,,34.65980071,135.5155678,
526,E2710001554121,障害者支援施設　知恩寮、障害児入所施設　法然寮,大阪府大阪市天王寺区城南寺町1-10,,,要配慮者,34.67064941,135.5239912,
527,E2710001555111,高津中学校,大阪府大阪市天王寺区城南寺町1-31,1,,,34.67147901,135.5234312,
528,E2710001556121,天森養護老人ホーム,大阪府大阪市天王寺区城南寺町2-23,,,要配慮者,34.67124833,135.5228025,
529,E2710001558111,大阪市立天王寺スポーツセンター,大阪府大阪市天王寺区真田山町5-109,,,,34.67086476,135.5285912,
530,E2710001569111,大阪夕陽丘学園,大阪府大阪市天王寺区生玉町7-72,1,,,34.66031877,135.5123948,
531,E2710001571111,清風学園,大阪府大阪市天王寺区石ケ辻町12-16,1,,,34.66323592,135.5218993,
532,E2710001572121,ホテルアウィーナ大阪,大阪府大阪市天王寺区石ケ辻町19-12,,,要配慮者,34.66340774,135.5205385,
533,E2710001573111,天王寺小学校,大阪府大阪市天王寺区大道1-4-49,1,,,34.65286032,135.5149843,
534,E2710001580111,桃陽小学校,大阪府大阪市天王寺区堂ケ芝1-2-23,1,,,34.66143671,135.5286684,
535,E2710002854121,大阪赤十字病院附属大手前整肢学園,大阪府大阪市天王寺区筆ケ崎町5-30,,,要配慮者,34.664013,135.525162,
536,E2710001583111,天王寺中学校,大阪府大阪市天王寺区北河堀町6-20,1,,,34.64955732,135.5173738,
537,E2710001584111,夕陽丘高等学校,大阪府大阪市天王寺区北山町10-10,1,,,34.658877,135.5226556,
538,E2710001586111,味原小学校,大阪府大阪市天王寺区味原町8-19,1,,,34.6673022,135.5282308,
539,E2710001591111,高倉中学校,大阪府大阪市都島区御幸町1-1-10,1,,,34.71264852,135.532616,
